"Date","Location","City","Region","Title","Amount","Department","Views","Trans_details"
"October 26, 2015","Gurgaon                       , Haryana","Gurgaon","Haryana","I Paid Rs. 10 to Municipal Services in Gurgaon.",10,"Municipal Services",114,"Birth Certificate"
"October 26, 2015","Bangalore                       , Karnataka","Bangalore","Karnataka","I Paid Rs. 300 to Police in Bangalore.",300,"Police",165,"Traffic Violations"
"October 25, 2015","Abhayapuri                       , Assam","Abhayapuri","Assam","I Paid Rs. 7000 to Commercial Tax, Sales Tax, VAT in Abhayapuri.",7000,"Commercial Tax, Sales Tax, VAT",165,"C Form"
"October 25, 2015","Chikmagalur                       , Karnataka","Chikmagalur","Karnataka","Bribe given to issue RTC of the land",35000,"Revenue",163,"Urban Land Ceiling Clearance Certificate"
"October 25, 2015","Chikmagalur                       , Karnataka","Chikmagalur","Karnataka","The Sub Registrar collected INR 35000 before registration of the land",35000,"Stamps and Registration",447,"Land Registration"
"October 25, 2015","New Delhi                       , Delhi","New Delhi","Delhi","I paid a bribe to a police officer",250,"Passport",264,"Police Verification for Passport"
"October 25, 2015","Pune                       , Maharashtra","Pune","Maharashtra","I Paid Rs. 120 to Municipal Services in Pune.",120,"Municipal Services",180,"Birth Certificate"
"October 25, 2015","Hyderabad                       , Telangana","Hyderabad","Telangana","Bribe paid to Customs Officials at Hyderabad International Airport",2000,"Airports",206,"Immigration Check"
"October 25, 2015","Hyderabad                       , Telangana","Hyderabad","Telangana","I Paid Rs. 100 to Municipal Services in Hyderabad.",100,"Municipal Services",200,"Birth Certificate"
"October 25, 2015","Chennai                       , Tamil Nadu","Chennai","Tamil Nadu","I Paid Rs. 25 to Municipal Services in Chennai.",25,"Municipal Services",208,"Birth Certificate"
"October 25, 2015","Aurangabad                       , Maharashtra","Aurangabad","Maharashtra","I Paid Rs. 500000 to Municipal Services in Aurangabad.",5e+05,"Municipal Services",186,"Birth Certificate"
"October 24, 2015","Ulhasnagar                       , Maharashtra","Ulhasnagar","Maharashtra","I Paid Rs. 100 to Municipal Services in Ulhasnagar.",100,"Municipal Services",173,"Birth Certificate"
"October 24, 2015","Chennai                       , Tamil Nadu","Chennai","Tamil Nadu","I Paid Rs. 2000 to Income Tax in Chennai.",2000,"Income Tax",211,"New PAN Card"
"October 24, 2015","New Delhi                       , Delhi","New Delhi","Delhi","I Paid Rs. 100 to Police in New Delhi.",100,"Police",221,"Traffic Violations"
